Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
1	8.857	46.190	1940	2.366	53.381	54.548	2291	2.068	54.548	0.874	53.381	2242	2.735	53.381	54.548	2291	2.068	54.548	0.756	95.286	4002.000	2.463	95.286	37.524	1576	0.858	37.524	0.348
2	11.279	37.593	2030.000	1.967	36.381	45.405	1907	1.774	45.405	0.902	36.381	1528	1.903	36.381	45.405	1907	1.774	45.405	0.932	79.214	3327.000	2.074	79.214	51.333	2156	1.175	51.333	0.567
3	13.321	37.873	2386	2.004	28.357	46.286	1944	1.841	46.286	0.919	28.357	1191	1.500	28.357	46.286	1944	1.841	46.286	1.227	86.619	3638	2.271	86.619	39.071	1641	0.896	39.071	0.395
4	11.096	46.315	2501	2.322	37.452	41.810	1756	1.558	41.810	0.671	37.452	1573.000	1.878	37.452	41.810	1756	1.558	41.810	0.830	77.905	3272.000	1.997	77.905	28.905	1214	0.671	28.905	0.336
5	11.040	39.803	2428	2.039	47.405	39.381	1654	1.515	39.381	0.743	47.405	1991	2.429	47.405	39.381	1654	1.515	39.381	0.624	76.262	3203	1.974	76.262	32.452	1363.000	0.750	32.452	0.380
6	11.324	28.625	1832	1.508	25.048	38.524	1618	1.530	38.524	1.014	25.048	1052	1.320	25.048	38.524	1618	1.530	38.524	1.159	81.976	3443	2.136	81.976	37.595	1579	0.877	37.595	0.410
7	12.693	39.062	2539	1.980	30.810	36.310	1525	1.395	36.310	0.705	30.810	1294	1.562	30.810	36.310	1525	1.395	36.310	0.894	88.381	3712	2.279	88.381	39	1638	0.911	39	0.400
8	12.078	24	1608	1.272	19.762	29.786	1251	1.201	29.786	0.945	19.762	830	1.047	19.762	29.786	1251	1.201	29.786	1.147	71.905	3020.000	1.877	71.905	30.929	1299	0.719	30.929	0.383
9	14.162	31.208	2247	1.695	21.262	33.238	1396	1.370	33.238	0.808	21.262	893	1.155	21.262	33.238	1396	1.370	33.238	1.186	70.381	2956	1.850	70.381	37.167	1561	0.866	37.167	0.468
10	12.693	25.210	1563	1.377	34.881	30	1260	1.236	30	0.898	34.881	1465	1.905	34.881	30	1260	1.236	30	0.649	65.786	2763.000	1.759	65.786	31.119	1307	0.725	31.119	0.412
